settlement_id,vendor_name,amount,txn_date,reference_id,description
STL-000281-0,PhonePe Private Limited,150269.55,2026-05-30,RZP8162734523,Service fee RZP816
STL-000282-0,Ola Cabs Pvt Ltd,214918.98,2026-05-10,RZP6861958570,Merchant settlement batch RZP686
STL-000283-0,Meesho Fashnear Technologies,133468.21,2026-01-02,,Service fee RZP876
STL-000284-0,Cred Dreamplug Technologies Pvt Ltd,24561.38,2026-02-05,RZP2790552070,Order settlement RZP279
STL-000285-0,Reilance Industries Limited,93851.22,2026-02-23,RZP6331628432,Vendor payout RZP633
STL-000286-0,Larsen & Toubro Limited,103395.06,2026-05-23,RZP435,Service fee RZP435
STL-000287-0,Bharti Airtel Limited,25204.61,2026-05-11,RZP4356719001,Order settlement RZP435
STL-000288-0,Infosys Limited,64447.44,2026-04-05,RZP0039657598,Subscription charge RZP003
STL-000289-0,Reliance Industries Limited,50113.86,2026-06-19,,Service fee RZP951
STL-000292-0,CRED,62642.15,2026-04-24,RZP9577944501,Merchant settlement batch RZP957
STL-000294-0,Innovative Retail Concepts,33106.32,2026-03-01,RZP829,Subscription charge RZP829
STL-000294-1,BigBasket Innovative Retail Concepts,45444.03,2026-02-26,,Merchant settlement batch RZP829
STL-000296-0,BigBasket Innovative Retail Concepts,45840.85,2026-05-11,RZP2250745536,Service fee RZP225
STL-000297-0,HDCF Bank Limited,174606.41,2026-04-29,RZP3063138122,Service fee RZP306
STL-000298-0,BHARTI AIRTEL LIMITED,124762.03,2026-02-23,RZP4734459687,Service fee RZP473
STL-000299-0,Swiggy Bundl Technologies Private Limited,49136.39,2026-02-11,RZP404,Subscription charge RZP404
STL-000300-0,HDFC Bank Ltd,171594.47,2026-01-17,RZP2280723583,Service fee RZP228
STL-000301-0,Meesho Pvt Ltd,49202.28,2026-05-28,RZP659,Payment for invoice RZP659
STL-000302-0,ICICIBANK,217083.76,2026-06-15,RZP8365801232,Payment for invoice RZP836
STL-000303-0,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,67901.94,2026-04-25,RZP7975418122,Subscription charge RZP797
STL-000306-0,Urban Company Technologies Private Limited,50024.84,2026-06-28,RZP5547846594,Subscription charge RZP554
STL-000306-1,Urban Company Pvt Ltd,61269.44,2026-06-28,,Subscription charge RZP554
STL-000307-0,Flipkart Internet Ltd,77070.87,2026-04-16,RZP2308834099,Service fee RZP230
STL-000308-0,PhonePe Pvt Ltd,199521.5,2026-06-02,RZP2034531733,Service fee RZP203
STL-000309-0,Wipro Limited,129224.73,2026-06-07,RZP8627848126,Service fee RZP862
STL-000310-0,Meesho Pvt Ltd,123075.2,2026-03-24,RZP0051127721,Service fee RZP005
STL-000312-0,Adani Enterprises Limited,199635.06,2026-01-04,RZP1727470475,Subscription charge RZP172
STL-000313-0,Mahindra Mahindra Ltd,232423.96,2026-02-12,RZP6095261882,Vendor payout RZP609
STL-000314-0,PHONEPE PRIVATE LIMITED,79695.26,2026-02-13,RZP7532956617,Order settlement RZP753
STL-000315-0,Infosys Limited,171533.27,2026-03-28,RZP9960677129,Order settlement RZP996
STL-000316-0,Flipkart Internet Ltd,183326.61,2026-01-06,RZP6318442611,Subscription charge RZP631
STL-000318-0,Meesho Fashnear Technologies,212559.75,2026-06-08,RZP276,Payment for invoice RZP276
STL-000319-0,HDFC Bank Limited,130871.65,2026-01-18,RZP0910110634,Vendor payout RZP091
STL-000320-0,Adani Ent Ltd,3923.77,2026-02-26,RZP609,Payment for invoice RZP609
STL-000320-1,Adani Enterprises Ltd,2948.13,2026-02-26,RZP6092480805,Vendor payout RZP609
STL-000320-2,Adani Enterprises Limited,5542.35,2026-02-27,RZP6092480805,Order settlement RZP609
STL-000321-0,Tata Consult Services,205937.43,2026-03-10,RZP5780251231,Payment for invoice RZP578
STL-000322-0,Bharti Airtel Limited,138354.46,2026-05-23,RZP416,Subscription charge RZP416
STL-000323-0,Urban Company Technologies Private Limited,244608.05,2026-04-26,RZP9959846832,Order settlement RZP995
STL-000324-0,UrbanClap Technologies,231547.81,2026-03-07,RZP3490020180,Subscription charge RZP349
STL-000325-0,Zomato iLmited,5572.09,2026-06-26,RZP8955504128,Payment for invoice RZP895
STL-000326-0,Mahindra & Mahindra Ltd,22809.96,2026-04-14,RZP5203448780,Order settlement RZP520
STL-000327-0,Cred Dreamplug Technologies Private Limited,95479.3,2026-01-15,RZP9384917789,Vendor payout RZP938
STL-000328-0,Swiggy Bundl Technologies Pvt Ltd,13673.87,2026-05-16,,Merchant settlement batch RZP051
STL-000329-0,PhonePe Private Limited,72552.76,2026-04-11,RZP1347523467,Vendor payout RZP134
STL-000330-0,BigBasket Innovative Retail Concepts,98920.4,2026-05-27,,Service fee RZP167
STL-000331-0,LARSEN & TOUBRO LIMITED,80286.41,2026-06-02,RZP6713886492,Vendor payout RZP671
STL-000332-0,Infosys Limited,27942.51,2026-01-14,RZP2618238343,Payment for invoice RZP261
STL-000333-0,LARSEN & TOUBRO LIMITED,50141.17,2026-03-08,RZP569,Order settlement RZP569
STL-000333-1,LARSEN & TOUBRO LIMITED,26075.98,2026-03-08,RZP5696639520,Subscription charge RZP569
STL-000333-2,L AND T LIMITED,59840.49,2026-03-09,RZP569,Service fee RZP569
STL-000335-0,ANI Technologies Ola,244156.49,2026-01-26,RZP945,Payment for invoice RZP945
STL-000338-0,Zomato Limited,112374.92,2026-02-03,,Vendor payout RZP215
STL-000339-0,Cred Dreamplug Technologies Private Limited,229274.69,2026-03-23,RZP057,Service fee RZP057
STL-000340-0,Adani Enterprises Limited,38116.47,2026-02-20,RZP1176252263,Service fee RZP117
STL-000341-0,ICICI Bk,125638.52,2026-06-04,RZP4613412499,Payment for invoice RZP461
STL-000342-0,L AND T LIMITED,189480.61,2026-01-17,RZP1946688476,Service fee RZP194
STL-000344-0,Tata Consultancy Services,137094.23,2026-05-13,RZP7914872129,Merchant settlement batch RZP791
STL-000346-0,Larsen Toubro Ltd,220654.38,2026-01-25,RZP2697711435,Merchant settlement batch RZP269
STL-000347-0,OLACABS,153076.79,2026-02-10,RZP3379561817,Subscription charge RZP337
STL-000348-0,Flipkart Internet Ltd,72301.82,2026-02-16,RZP1126248508,Merchant settlement batch RZP112
STL-000349-0,BigBasket Innovative Retail Concepts,113516.56,2026-04-25,RZP062,Subscription charge RZP062
STL-000351-0,Cred Dreamplug Technologies Private Limited,90143.13,2026-01-10,RZP023,Payment for invoice RZP023
STL-000352-0,PhonePe Private Limited,130107.87,2026-06-28,RZP205,Service fee RZP205
STL-000353-0,Zomato Ltd,65026.06,2026-05-28,RZP9315564167,Subscription charge RZP931
STL-000354-0,Reliance Inds Ltd,46574.28,2026-02-02,RZP7264038266,Order settlement RZP726
STL-000354-1,RIL Payment,28344.47,2026-01-31,RZP7264038266,Merchant settlement batch RZP726
STL-000354-2,Reliance Industries Limited,41372.24,2026-01-31,RZP7264038266,Order settlement RZP726
STL-000355-0,Mahindra & Mahindra Limited,73699.28,2026-05-23,RZP3063760133,Order settlement RZP306
STL-000356-0,Innovative Retail Concepts,199344.01,2026-06-15,RZP114,Vendor payout RZP114
STL-000357-0,Zomato Limited,138861.03,2026-01-05,,Order settlement RZP267
STL-000358-0,Swiggy Bundl Technologies Private Limited,46966.62,2026-01-30,,Order settlement RZP877
STL-000359-0,BHARTI AIRTEL LIMITED,28170.86,2026-01-13,RZP7940451975,Payment for invoice RZP794
STL-000360-0,HDFC Bank Limited,205554.43,2026-05-14,RZP6174750965,Service fee RZP617
STL-000361-0,Tata Consultancy Services,25909.81,2026-06-18,RZP7076222576,Service fee RZP707
STL-000362-0,Adani Enterprises Limited,28297.06,2026-06-09,RZP5155298513,Service fee RZP515
STL-000363-0,Tata Consultancy Services,32648.99,2026-05-02,RZP9030378664,Service fee RZP903
STL-000364-0,Larsen & Toubro Ltd,178267.82,2026-06-22,RZP809,Subscription charge RZP809
STL-000365-0,Flipkart Internet Ltd,117715.89,2026-02-27,RZP1823193834,Payment for invoice RZP182
STL-000366-0,FSN E-Commerce Nykaa,119741.22,2026-02-13,RZP2355471503,Vendor payout RZP235
STL-000367-0,PhonePe Pvt Ltd,59758.04,2026-03-04,RZP5933857475,Subscription charge RZP593
STL-000368-0,Infsoys Limited,182829.64,2026-05-28,RZP8153043456,Order settlement RZP815
STL-000369-0,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,81952.71,2026-06-15,,Merchant settlement batch RZP608
STL-000371-0,SWIGGY,206650.2,2026-03-17,RZP0990591204,Order settlement RZP099
STL-000372-0,ZomatoL imited,177986.65,2026-04-14,,Service fee RZP356
STL-000373-0,Reliance Inds Ltd,18075.74,2026-01-07,RZP1869118886,Subscription charge RZP186
STL-000374-0,Flipkart Internet Pvt Ltd,127427.47,2026-05-22,RZP8324047729,Service fee RZP832
STL-000375-0,Tata Consultancy Services,142102.19,2026-04-05,RZP1461799740,Service fee RZP146
STL-000376-0,BIGBASKET,157721.15,2026-06-19,RZP906,Vendor payout RZP906
STL-000377-0,Zomato Limited,36330.68,2026-03-17,RZP2097750410,Vendor payout RZP209
STL-000377-1,Zomat oLimited,67877.05,2026-03-17,RZP209,Payment for invoice RZP209
STL-000378-0,Meesho Pvt Ltd,6970.43,2026-05-06,RZP0582128011,Payment for invoice RZP058
STL-000379-0,FLIPKART INTERNET PRIVATE LIMITED,92536.24,2026-02-14,RZP2747830191,Order settlement RZP274
STL-000380-0,PHONEPE PRIVATE LIMITED,188345.7,2026-03-02,,Service fee RZP671
STL-000381-0,Urban Company Technologies Private Limited,58530.28,2026-06-24,RZP741,Merchant settlement batch RZP741
STL-000382-0,URBAN COMPANY TECHNOLOGIES PRIVATE LIMITED,159410.42,2026-04-23,RZP6622825462,Merchant settlement batch RZP662
STL-000383-0,Larsen & Toubro Limited,130060.09,2026-06-23,RZP6156800142,Order settlement RZP615
STL-000385-0,Cred Pvt Ltd,200829.71,2026-02-17,,Subscription charge RZP862
STL-000386-0,Adani Enterprises Limited,40617.21,2026-01-19,RZP2039281092,Subscription charge RZP203
STL-000387-0,BigBasket Innovative Retail Concepts,27241.35,2026-05-19,,Order settlement RZP726
STL-000388-0,Reliance Inds Ltd,233233.85,2026-06-20,RZP3133077447,Merchant settlement batch RZP313
STL-000389-0,Reliance Industries Limited,43861.71,2026-06-27,RZP8459364690,Order settlement RZP845
STL-000389-1,Reliance Industries Ltd,18520.52,2026-06-26,RZP8459364690,Vendor payout RZP845
STL-000389-2,Reilance Industries Limited,33806.4,2026-06-27,,Subscription charge RZP845
STL-000390-0,Zomato Limited,20252.13,2026-04-29,RZP7225962316,Vendor payout RZP722
STL-000391-0,Flipkart Internet Private Limited,180018.75,2026-02-05,RZP0092376498,Subscription charge RZP009
STL-000392-0,Tata Consultancy Services,84528.99,2026-01-13,RZP4265985720,Service fee RZP426
STL-000393-0,Reliance Inds Ltd,117884.23,2026-06-08,RZP0711037415,Merchant settlement batch RZP071
STL-000394-0,MEESHO,199823.93,2026-03-01,RZP023,Order settlement RZP023
STL-000395-0,Cred Pvt Ltd,43485.9,2026-01-17,RZP1146549008,Service fee RZP114
STL-000396-0,Bharti Airtel Limited,4023.57,2026-05-06,,Service fee RZP009
STL-000397-0,Ola Cabs Private Limited,112687.22,2026-03-04,RZP960,Order settlement RZP960
STL-000398-0,Ola Cabs Pvt Ltd,239541.69,2026-06-08,RZP375,Payment for invoice RZP375
STL-000399-0,Bharti Airtel Limited,77292.44,2026-01-15,RZP0322684105,Merchant settlement batch RZP032
STL-000399-1,AIRTEL,41500.11,2026-01-12,RZP0322684105,Subscription charge RZP032
STL-000399-2,Bharti Airtel Limited,47996.8,2026-01-15,RZP032,Merchant settlement batch RZP032
STL-000400-0,BigBasket Innovative Retail Concepts,128798.69,2026-01-21,RZP8753163730,Order settlement RZP875
STL-000403-0,Bhart iAirtel Limited,143659.49,2026-05-22,RZP8084958277,Merchant settlement batch RZP808
STL-000404-0,PHONEPE PRIVATE LIMITED,69258.98,2026-06-01,RZP9984097543,Order settlement RZP998
STL-000404-1,PhonePe Internet Pvt Ltd,28777.14,2026-06-01,RZP9984097543,Merchant settlement batch RZP998
STL-000404-2,PhonePe Private Limited,46893.96,2026-06-01,RZP9984097543,Order settlement RZP998
STL-000405-0,FLIPKART INTERNET PRIVATE LIMITED,123895.02,2026-01-22,RZP5079126043,Payment for invoice RZP507
STL-000407-0,ZOMATO,132793.85,2026-03-19,RZP429,Payment for invoice RZP429
STL-000408-0,Tata Consultancy Services,27874.99,2026-04-04,RZP403,Service fee RZP403
STL-000409-0,Cred Dreamplug Technologies Private Limited,83811.21,2026-07-01,RZP2723262034,Merchant settlement batch RZP272
STL-000409-1,Cred Dreamplug Technologies Private Limited,45305.46,2026-06-30,RZP2723262034,Vendor payout RZP272
STL-000409-2,Cred Dreamplug Technologies Private Limited,88052.77,2026-07-03,RZP2723262034,Order settlement RZP272
STL-000410-0,BigBasket Pvt Ltd,177498.46,2026-06-23,RZP8843669818,Payment for invoice RZP884
STL-000411-0,Bharti Airtel Limited,72199.92,2026-01-21,RZP1264856295,Service fee RZP126
STL-000412-0,PhonePe Private Limited,111048.43,2026-06-17,RZP010,Subscription charge RZP010
STL-000413-0,Ola Cabs Private Limited,210500.68,2026-04-24,RZP4583723281,Payment for invoice RZP458
STL-000414-0,Bharti Airtel Limited,154714.76,2026-02-11,RZP7298661203,Order settlement RZP729
STL-000415-0,Nykaa E-Retail Private Limited,45265.75,2026-05-24,,Payment for invoice RZP769
STL-000416-0,Flipkart Internet Pvt Ltd,78616.47,2026-02-09,RZP0793742995,Vendor payout RZP079
STL-000416-1,Flipkart Internet Private Limietd,58216.36,2026-02-09,RZP079,Service fee RZP079
STL-000416-2,Flipkart Pvt Ltd,94690.51,2026-02-09,RZP0793742995,Payment for invoice RZP079
STL-000417-0,Flipkart Internet Private iLmited,83818.45,2026-01-29,,Order settlement RZP791
STL-000419-0,Nykaa E-Retail Private Limited,99479.87,2026-04-20,RZP332,Merchant settlement batch RZP332
STL-000420-0,PhonePe Pvt Ltd,182192.09,2026-04-17,RZP150,Service fee RZP150
STL-000421-0,Adani Ent Ltd,102573.15,2026-05-24,RZP4591824835,Merchant settlement batch RZP459
STL-000422-0,Flipkart Internet Private Limited,56246.38,2026-01-02,RZP1366162196,Subscription charge RZP136
STL-000423-0,Adani Enterprises Limited,54293.41,2026-01-21,RZP5344269837,Service fee RZP534
STL-000423-1,Adani Enterprises Ltd,67887.15,2026-01-18,RZP5344269837,Vendor payout RZP534
STL-000424-0,Bharti Airtel Limited,145476.46,2026-02-07,RZP3811249325,Merchant settlement batch RZP381
STL-000425-0,AIRTEL,191198.55,2026-06-04,RZP7588636605,Vendor payout RZP758
STL-000426-0,Ola Cabs Private Limited,69627.43,2026-05-05,RZP4912587569,Subscription charge RZP491
STL-000427-0,HDFC Bank Limited,104423.96,2026-01-20,RZP1103614959,Payment for invoice RZP110
STL-000428-0,Reliance Industries Limited,186153.39,2026-01-31,,Payment for invoice RZP281
STL-000429-0,PhonePe Pvt Ltd,10772.87,2026-01-28,RZP0654903001,Payment for invoice RZP065
STL-000430-0,LARSEN & TOUBRO LIMITED,46317.74,2026-04-01,RZP0172538765,Merchant settlement batch RZP017
STL-000431-0,Cred Dreamplug Technologies Private Limited,190841.52,2026-05-16,RZP2129590257,Service fee RZP212
STL-000432-0,Bhart iAirtel Limited,110000.51,2026-01-30,RZP1332219111,Order settlement RZP133
STL-000433-0,Mahindra & Mahnidra Limited,139349.43,2026-01-11,,Payment for invoice RZP043
STL-000434-0,Infosys Liimted,222286.99,2026-05-03,RZP9306635613,Vendor payout RZP930
STL-000435-0,HDFC Bk,185396.83,2026-02-13,RZP093,Payment for invoice RZP093
STL-000436-0,SWIGGY,86992.09,2026-06-20,RZP6442712461,Service fee RZP644
STL-000437-0,INFY,124609.01,2026-01-08,RZP9361600777,Order settlement RZP936
STL-000438-0,BigBasket Innovative Retail Concepts,122639.05,2026-03-08,RZP5850798148,Service fee RZP585
STL-000439-0,Tata Consultancy Services,44340.76,2026-06-19,RZP8374174166,Service fee RZP837
STL-000440-0,BigBasket Innovative Retail Concepts,119056.37,2026-02-10,RZP5349639300,Payment for invoice RZP534
STL-000442-0,HDFC Bank Ltd,84497.93,2026-01-07,RZP5064540403,Payment for invoice RZP506
STL-000443-0,CRED DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,11815.29,2026-05-06,RZP1635736344,Service fee RZP163
STL-000443-1,Cred Dreamplug Technologies Private Limited,5458.31,2026-05-06,RZP1635736344,Service fee RZP163
STL-000443-2,Cred Dreamplug Technologies Privtae Limited,7134.55,2026-05-06,RZP1635736344,Service fee RZP163
STL-000444-0,Urban Company Technologies Pvt Ltd,53263.97,2026-03-09,,Order settlement RZP094
STL-000446-0,OLACABS,215698.05,2026-05-28,RZP4689268899,Vendor payout RZP468
STL-000447-0,OLACABS,49596.27,2026-04-30,RZP1163438024,Order settlement RZP116
STL-000448-0,Adani Enterprises Limited,171760.93,2026-03-03,RZP4112845460,Service fee RZP411
STL-000450-0,INFOSYS LIMITED,97290.98,2026-02-05,RZP2551657540,Merchant settlement batch RZP255
STL-000451-0,Zomato Ltd,82422.44,2026-05-30,RZP7879212248,Service fee RZP787
STL-000452-0,NYKAA,174949.49,2026-01-29,RZP3469893780,Service fee RZP346
STL-000455-0,BigBasket Innovative Retail Concepts,184275.2,2026-03-29,RZP7888653687,Payment for invoice RZP788
STL-000456-0,Tata Consultancy Services,157797.0,2026-02-18,RZP6714630159,Vendor payout RZP671
STL-000458-0,Cred Dreamplug Technologies Private Limited,56221.19,2026-01-07,RZP9669917144,Subscription charge RZP966
STL-000459-0,NYKAA,42655.59,2026-05-26,RZP1749461718,Payment for invoice RZP174
STL-000460-0,BIGBASKET,95611.07,2026-04-25,RZP8692644122,Order settlement RZP869
STL-000461-0,Wipro Technologies Ltd,92503.64,2026-06-25,,Merchant settlement batch RZP604
STL-000462-0,TATA CONSULTANCY SERVICES,12995.88,2026-03-03,RZP4366878053,Service fee RZP436
STL-000463-0,ICICI Bank Limited,236056.29,2026-05-25,RZP0114340742,Subscription charge RZP011
STL-000464-0,ICICIBANK,124877.77,2026-03-14,,Order settlement RZP792
STL-000465-0,ICICI Bank Limitde,138985.33,2026-06-18,RZP641,Order settlement RZP641
STL-000466-0,Nykaa E-Retail Private Limited,247185.61,2026-05-24,RZP4488108115,Payment for invoice RZP448
STL-000467-0,Cred Pvt Ltd,53217.18,2026-01-02,RZP5540768066,Subscription charge RZP554
STL-000468-0,HDFC BANK LIMITED,209268.76,2026-02-10,RZP0474626306,Service fee RZP047
STL-000469-0,Cred Dreamplug Technologies Private Limited,32435.98,2026-01-13,RZP8277560227,Merchant settlement batch RZP827
STL-000470-0,LARSEN & TOUBRO LIMITED,40861.18,2026-04-14,RZP2761448361,Service fee RZP276
STL-000471-0,Nykaa E-Retail Private Limited,128236.41,2026-05-07,RZP4326043160,Payment for invoice RZP432
STL-000472-0,Flipkart Pvt Ltd,169158.54,2026-06-15,RZP614,Order settlement RZP614
STL-000473-0,Mahindra & Mahindra Limited,210408.26,2026-05-14,RZP4559554478,Vendor payout RZP455
STL-000474-0,Infosys Pvt Ltd,192196.4,2026-01-06,RZP1611308254,Subscription charge RZP161
STL-000475-0,Adani Ent Ltd,85432.39,2026-02-17,RZP2092640306,Service fee RZP209
STL-000476-0,Fashnear Technologies Ltd,181518.96,2026-03-19,,Payment for invoice RZP693
STL-000477-0,Larsen & Toubro Lmiited,214774.16,2026-02-23,RZP4128850714,Merchant settlement batch RZP412
STL-000478-0,ICICI Bank Limited,184734.48,2026-04-24,RZP9485258006,Order settlement RZP948
STL-000479-0,PhonePe Private Limited,212161.38,2026-05-29,,Service fee RZP552
STL-000480-0,Reliance Industries Ltd,105587.84,2026-03-22,,Payment for invoice RZP526
STL-000481-0,Nykaa E-Retail Private Limited,109611.96,2026-05-10,RZP2936861279,Order settlement RZP293
STL-000482-0,NYKAA,199000.26,2026-02-13,RZP6276116149,Vendor payout RZP627
STL-000483-0,Urban Company Technologies Private Limited,11905.28,2026-01-05,RZP3261858312,Vendor payout RZP326
STL-000485-0,HDFC Bank Limited,243668.34,2026-06-06,RZP6815511237,Subscription charge RZP681
STL-000486-0,Ola Cabs Private Limited,124672.99,2026-01-26,RZP1381297084,Order settlement RZP138
STL-000487-0,Infosys Limited,30156.46,2026-04-17,RZP3617428444,Vendor payout RZP361
STL-000487-1,INFOSYS LIMITED,12928.03,2026-04-21,RZP361,Service fee RZP361
STL-000487-2,Infosys Limited,23384.16,2026-04-17,,Subscription charge RZP361
STL-000490-0,Reliance Industries Limited,206776.84,2026-05-16,RZP6146866438,Order settlement RZP614
STL-000491-0,Larsen & Toubro Ltd,220261.76,2026-01-22,RZP0377192055,Subscription charge RZP037
STL-000492-0,Reliance Industries Limited,7118.62,2026-05-21,,Service fee RZP527
STL-000493-0,HDFCBANK,111604.01,2026-05-27,,Payment for invoice RZP749
STL-000494-0,Cred Dreamplug Technologies Private Limited,164238.69,2026-04-07,RZP5235830780,Vendor payout RZP523
STL-000495-0,ICICI Bank Limited,119141.83,2026-04-25,RZP0645785696,Merchant settlement batch RZP064
STL-000496-0,PhonePe Private Limited,201233.26,2026-02-06,,Service fee RZP544
STL-000497-0,HDFC Bk,150459.81,2026-04-16,RZP1325133201,Vendor payout RZP132
STL-000498-0,Mahindra & Mahindra Limited,222280.94,2026-02-25,RZP1705004343,Service fee RZP170
STL-000499-0,Meesho Fashnear Technologies,33332.48,2026-02-06,RZP5444837642,Order settlement RZP544
STL-000501-0,Urban Company Technologies Private Limited,51501.45,2026-01-15,RZP9575065922,Order settlement RZP957
STL-000501-1,Urban Company Technologies Private Limited,32651.83,2026-01-14,,Vendor payout RZP957
STL-000501-2,Urban Company Pvt Ltd,59627.9,2026-01-15,RZP957,Order settlement RZP957
STL-000503-0,URBANCOMPANY,42163.93,2026-02-06,,Order settlement RZP171
STL-000504-0,PhonePe Private Limited,223259.61,2026-03-10,,Subscription charge RZP381
STL-000505-0,UrbanClap Technologies,101858.05,2026-05-04,RZP0690551761,Subscription charge RZP069
STL-000507-0,MEESHO FASHNEAR TECHNOLOGIES,72418.98,2026-02-14,RZP0945833655,Service fee RZP094
STL-000508-0,Urban Company Technologies Private Limited,140835.93,2026-03-20,RZP0687982588,Order settlement RZP068
STL-000509-0,FLIPKART,68362.33,2026-06-19,RZP9345066049,Order settlement RZP934
STL-000510-0,Urban Company Technologies Private Limited,68035.91,2026-05-06,RZP7576008663,Service fee RZP757
STL-000510-1,Urban Company Technologies Private Limited,155796.84,2026-05-07,RZP7576008663,Merchant settlement batch RZP757
STL-000511-0,NykaaE -Retail Private Limited,96779.75,2026-06-29,RZP9131077671,Subscription charge RZP913
STL-000512-0,Wipro Limited,58679.35,2026-05-07,RZP9047609612,Service fee RZP904
STL-000513-0,URBANCOMPANY,48563.99,2026-05-25,RZP6615719887,Order settlement RZP661
STL-000514-0,Reliance Industries Limited,247989.05,2026-06-27,,Vendor payout RZP666
STL-000516-0,Wipro Ltd,77954.54,2026-04-20,RZP991,Subscription charge RZP991
STL-000516-1,Wipro Limited,66849.47,2026-04-20,RZP9913060407,Service fee RZP991
STL-000516-2,WIPRO,97809.53,2026-04-19,RZP9913060407,Merchant settlement batch RZP991
STL-000517-0,WIPRO LIMITED,27093.99,2026-03-03,RZP9885205404,Order settlement RZP988
STL-000518-0,Tata Consultancy Services,229191.09,2026-04-07,RZP3801943606,Service fee RZP380
STL-000519-0,Swiggy Pvt Ltd,41712.88,2026-06-10,RZP7256037863,Merchant settlement batch RZP725
STL-000519-1,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,27056.58,2026-06-08,RZP7256037863,Payment for invoice RZP725
STL-000519-2,Swigyg Bundl Technologies Private Limited,31740.68,2026-06-08,,Subscription charge RZP725
STL-000520-0,Flipkart Internet Private Limited,129375.64,2026-05-31,RZP1150715624,Subscription charge RZP115
STL-000521-0,Bharti Airtel Ltd,60901.65,2026-01-12,RZP0349738713,Order settlement RZP034
STL-000522-0,RELIANCE INDUSTRIES LIMITED,129492.5,2026-06-18,RZP6058841297,Subscription charge RZP605
STL-000524-0,Wipro Limited,173347.83,2026-04-30,,Vendor payout RZP627
STL-000525-0,Urban Company Technologies Private Limited,28213.86,2026-03-16,RZP4693912221,Merchant settlement batch RZP469
STL-000526-0,Larsen & Toubro Limited,5505.18,2026-03-10,,Subscription charge RZP906
STL-000527-0,OLACABS,244278.9,2026-06-09,RZP8801971335,Payment for invoice RZP880
STL-000528-0,Tata Consultanyc Services,190796.36,2026-05-31,RZP1573078898,Merchant settlement batch RZP157
STL-000531-0,Nykaa Pvt Ltd,63744.13,2026-01-26,RZP1043546444,Service fee RZP104
STL-000532-0,Swiggy Bundl Technologies Private Limited,6324.58,2026-04-24,RZP2630856790,Order settlement RZP263
STL-000534-0,Reliance Industries Limited,190298.19,2026-03-15,,Vendor payout RZP874
STL-000535-0,Larsen Toubro Ltd,116934.59,2026-05-13,,Service fee RZP554
STL-000536-0,Urban Company Technologies Private Limited,7671.02,2026-02-05,RZP519,Order settlement RZP519
STL-000537-0,Mahindra & Mahindra Limited,81621.33,2026-01-06,RZP5019957953,Subscription charge RZP501
STL-000538-0,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,16043.5,2026-04-09,RZP1154801506,Service fee RZP115
STL-000539-0,Larsen & Toubro Ltd,17512.34,2026-04-09,,Payment for invoice RZP226
STL-000540-0,PhonePe Pvt Ltd,119641.05,2026-01-18,RZP3928386153,Order settlement RZP392
STL-000541-0,Flipkart Internet Private Limited,68968.93,2026-01-02,RZP9486235440,Payment for invoice RZP948
STL-000542-0,Flipkart Pvt Ltd,86793.44,2026-03-19,RZP3884164366,Order settlement RZP388
STL-000543-0,Tata Consultancy Services,60037.86,2026-02-11,RZP262,Order settlement RZP262
STL-000544-0,HDFC Bank Limited,126173.05,2026-03-25,RZP4120066433,Order settlement RZP412
STL-000545-0,Reliance Industries Limited,25481.99,2026-02-05,RZP3740529188,Payment for invoice RZP374
STL-000545-1,Reilance Industries Limited,36478.84,2026-02-04,RZP374,Service fee RZP374
STL-000546-0,Meesho Fashnear Technologies,25263.7,2026-03-18,,Service fee RZP171
STL-000548-0,Larsen & Toubro Ltd,22982.9,2026-04-19,RZP0086090867,Vendor payout RZP008
STL-000549-0,HDFCB ank Limited,203933.74,2026-03-24,RZP5125912314,Vendor payout RZP512
STL-000550-0,Larsen & Toubro Ltd,114764.49,2026-01-18,RZP6260847497,Order settlement RZP626
STL-000551-0,HDFC Bank Limited,150027.1,2026-06-11,,Order settlement RZP669
STL-000552-0,Cred Dreamplug Technologies Pvt Ltd,112305.93,2026-05-13,RZP6259268377,Payment for invoice RZP625
STL-000553-0,ICICI Bk,93724.73,2026-03-17,,Merchant settlement batch RZP236
STL-000554-0,PhonePe Pvt Ltd,162064.4,2026-03-17,RZP7273209986,Service fee RZP727
STL-000555-0,Swiggy Bundl Technologies Private Limited,129418.47,2026-02-16,RZP4080161205,Order settlement RZP408
STL-000557-0,NYKAA E-RETAIL PRIVATE LIMITED,98298.12,2026-02-12,RZP4464194740,Subscription charge RZP446
STL-000559-0,Nykaa E-Retail Private Limited,122939.71,2026-04-17,RZP9934654093,Subscription charge RZP993
STL-000560-0,PhonePe Private Limited,239268.22,2026-03-31,RZP5466697208,Subscription charge RZP546
STL-000562-0,Swiggy Bundl Technologies Private Limited,176543.54,2026-01-21,RZP514,Order settlement RZP514
STL-000563-0,Infosys Limited,27452.13,2026-05-28,RZP7317933980,Order settlement RZP731
STL-000564-0,PhonePe Internet Pvt Ltd,131311.75,2026-06-17,RZP241,Subscription charge RZP241
